"Name","AppID"
"Access","Microsoft.Office.MSACCESS.EXE.15"
"Anaconda PowerShell Prompt","anaconda.PowerShell.miniconda3.base"
"Anaconda Prompt","anaconda.CmdExe.miniconda3.base"
"Application Verifier (WOW)","{D65231B0-B2F1-4857-A4CE-A8E7C6EA7D27}\appverif.exe"
"Application Verifier (X64)","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\appverif.exe"
"Audio Control","Microsoft.AutoGenerated.{2C2CF552-C994-218D-9F6E-1A03EFF1672D}"
"BLACKBOX.AI","www.blackbox.ai-DB68B04B_bm2pbcpvt3c1m!App"
"Calculator","Microsoft.WindowsCalculator_8wekyb3d8bbwe!App"
"Camera","Microsoft.WindowsCamera_8wekyb3d8bbwe!App"
"Camoufox Private Browsing","100B2B81E75346E2;PrivateBrowsingAUMID"
"Character Map","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\charmap.exe"
"ChatGPT","chatgpt.com-DFCB3CE4_ch69rtgtz055j!App"
"Chromium","Chromium.5NBTBMFGYGR3HRWWYPONZAPNXA"
"Claude","claude.ai-18877962_4k56vfyhbf6dg!App"
"Click to Do","MicrosoftWindows.Client.CoreAI_cw5n1h2txyewy!ClickToDoApp"
"Clock","Microsoft.WindowsAlarms_8wekyb3d8bbwe!App"
"Comet","Comet.5NBTBMFGYGR3HRWWYPONZAPNXA"
"Command Palette","Microsoft.CommandPalette_8wekyb3d8bbwe!App"
"Command Prompt","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\cmd.exe"
"Component Services","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\comexp.msc"
"Computer Management","Microsoft.AutoGenerated.{8ABD94FB-E7D6-84A6-A997-C918EDDE0AE5}"
"Console","Microsoft.AutoGenerated.{49F182AE-BFD7-691D-F186-03BEE41E8345}"
"Console RAR manual","{6D809377-6AF0-444B-8957-A3773F02200E}\WinRAR\Rar.txt"
"Control Panel","Microsoft.Windows.ControlPanel"
"copying","Microsoft.AutoGenerated.{75B164E1-6503-A69D-EC82-6FEF85F1A15E}"
"CrystalDiskInfo","{6D809377-6AF0-444B-8957-A3773F02200E}\CrystalDiskInfo\DiskInfo64.exe"
"Cursor","Anysphere.Cursor"
"Debuggable Package Manager","Microsoft.AutoGenerated.{96690F80-0B7F-841E-E0DB-CC38AC5C839F}"
